userId,firstName,lastName,gender,location,level,sessionId,itemInSession,artist,song,length
26,Ryan,Smith,M,"San Jose-Sunnyvale-Santa Clara, CA",free,583,0,Harmonia,Sehr kosmisch,655.77751
26,Ryan,Smith,M,"San Jose-Sunnyvale-Santa Clara, CA",free,583,1,The Prodigy,The Big Gundown,260.07465
26,Ryan,Smith,M,"San Jose-Sunnyvale-Santa Clara, CA",free,583,2,Train,Marry Me,205.45261
61,Samuel,Gonzalez,M,"Houston-The Woodlands-Sugar Land, TX",free,597,0,Sony Wonder,Blackbird,218.06975
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,602,2,Van Halen,Best Of Both Worlds (Remastered Album Version),289.38404
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,602,3,Magic Sam,Call Me If You Need Me,132.04853
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,602,4,Edward Sharpe & The Magnetic Zeros,Home,306.31138
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,602,5,Usher featuring will.i.am,OMG,395.72853
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,602,7,Helen Reddy,Candle On The Water,176.50893
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,602,8,Taylor Swift,Our Song,201.06404
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,602,9,Sean Paul,Baby Boy [feat. Beyonce],245.34159
15,Lily,Koch,F,"Chicago-Naperville-Elgin, IL-IN-WI",paid,582,0,Soundgarden,Black Hole Sun,272.19546
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,602,10,The Killers,Human,360.75057
15,Lily,Koch,F,"Chicago-Naperville-Elgin, IL-IN-WI",paid,582,1,Amy Winehouse,Addicted,165.11955
15,Lily,Koch,F,"Chicago-Naperville-Elgin, IL-IN-WI",paid,582,2,Steve Anderson,Air,265.06404
15,Lily,Koch,F,"Chicago-Naperville-Elgin, IL-IN-WI",paid,582,3,Rob Zombie,Superbeast,220.13342
15,Lily,Koch,F,"Chicago-Naperville-Elgin, IL-IN-WI",paid,582,4,Deadmau5 & Kaskade,I Remember,595.56526
26,Ryan,Smith,M,"San Jose-Sunnyvale-Santa Clara, CA",free,607,0,Shania Twain,Don't Be Stupid (You Know I Love You),213.7073
26,Ryan,Smith,M,"San Jose-Sunnyvale-Santa Clara, CA",free,607,1,Los Campesinos,We throw parties_ you throw knives,138.10893
49,Chloe,Cuevas,F,"San Francisco-Oakland-Hayward, CA",paid,606,1,Ill Nino,How Can I Live (Spanish version) (Album Version),188.9171
49,Chloe,Cuevas,F,"San Francisco-Oakland-Hayward, CA",paid,606,2,Mia X,Thugs Like Me,236.09424
49,Chloe,Cuevas,F,"San Francisco-Oakland-Hayward, CA",paid,606,3,Rage Against The Machine,Killing In The Name,314.40934
49,Chloe,Cuevas,F,"San Francisco-Oakland-Hayward, CA",paid,606,4,Asia 2001,Epilogue,150.30812
49,Chloe,Cuevas,F,"San Francisco-Oakland-Hayward, CA",paid,606,5,Muse,Endlessly,228.93669
49,Chloe,Cuevas,F,"San Francisco-Oakland-Hayward, CA",paid,606,6,Rise Against,Torches,221.17832
88,Mohammad,Rodriguez,M,"Sacramento--Roseville--Arden-Arcade, CA",free,591,3,Modest Mouse,The Good Times Are Killing Me,259.47383
49,Chloe,Cuevas,F,"San Francisco-Oakland-Hayward, CA",paid,606,7,Marc Anthony,Te Conozco Bien,314.43546
49,Chloe,Cuevas,F,"San Francisco-Oakland-Hayward, CA",paid,606,8,Regina Spektor,The Calculation (Album Version),191.08526
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,0,Nina Sky,Goodbye (Interlude),101.92934
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,0,Five Iron Frenzy,Canada,236.09424
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,2,Kudai,Ven,256.62649
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,3,Pulp,Do You Remember The First Time?,260.8322
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,4,SinÃÂ©ad O'Connor,I Want Your (Hands On Me),282.51383
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,3,Paul Brown,Chill Out,232.54159
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,5,Lasgo,Something (Radio Edit),220.13342
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,4,Patty Loveless,What's A Broken Heart,188.13342
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,6,Eddie Vedder,Society,236.30322
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,5,Rogue Wave,Christians In Black,234.13506
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,7,Muse,Uprising,304.84853
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,6,Amanda Blank,Might Like You Better,175.09832
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,8,The Smiths,Sheila Take A Bow,162.24608
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,7,Old 97's,Victoria (LP Version),231.28771
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,9,Selena,Dreaming Of You,316.42077
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,8,Fat Joe,What's Luv? (Featuring Ja-Rule & Ashanti) (Explicit Album Version),267.10159
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,10,Stars,Soft Revolution,193.33179
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,9,James Blunt,Same Mistake  (Album Version),298.4224
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,11,Mayday Parade,Bruised And Scarred (Album Version),203.28444
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,10,Die Mooskirchner,Frisch und g'sund,169.29914
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,12,Gorillaz,Rockit,211.77424
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,12,Toby Keith,Should've Been A Cowboy,208.48281
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,13,Modest Mouse,Little Motel,284.18567
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,13,Future Rock,Gears,239.90812
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,14,Noel Pointer,Superwoman (Where Were You When I Needed You) (Digitally Remastered),259.7873
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,14,Callenish Circle,Forgotten,226.11546
16,Rylan,George,M,"Birmingham-Hoover, AL",paid,575,0,Foo Fighters,Everlong,250.14812
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,15,Portishead,Hunter,238.73261
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,15,Taylor Swift,The Way I Loved You,245.36771
16,Rylan,George,M,"Birmingham-Hoover, AL",paid,575,1,J-Live,Longevity,256.93995
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,16,The White Stripes,Fell In Love With A Girl,110.47138
80,Tegan,Levine,F,"Portland-South Portland, ME",paid,611,16,Dwight Yoakam,You're The One,239.3073
30,Avery,Watkins,F,"San Jose-Sunnyvale-Santa Clara, CA",paid,324,17,The Black Keys,Lies,238.99383
